시장명,x좌표,y좌표
두꺼비시장, 36.61779082246839, 127.47222312808394
두꺼비시장, 36.61666359327797, 127.47275630181397
두꺼비시장, 36.61753834709897, 127.4742223127537
두꺼비시장, 36.61788298809848, 127.47362978663703
두꺼비시장, 36.6177676972593, 127.47340812224655
두꺼비시장, 36.617906224562255, 127.47329242915178
두꺼비시장, 36.617816410185405, 127.47306293957034
두꺼비시장, 36.61801126158208, 127.47297000577288
가경터미널시장, 36.627991511951144, 127.43713454567323
가경터미널시장, 36.6274705948595, 127.43573443262054
가경터미널시장, 36.627268254213334, 127.4358309921414
가경터미널시장, 36.62707882844614, 127.43529991477659
가경터미널시장, 36.627272559339, 127.4351818975844
가경터미널시장, 36.626433055286284, 127.43288592675466
가경터미널시장, 36.62676885800468, 127.43264989237029
가경터미널시장, 36.62763418903611, 127.43504242272091
가경터미널시장, 36.62837896866158, 127.43461863371262
가경터미널시장, 36.6285468659645, 127.4350799736457
가경터미널시장, 36.62778917267259, 127.43552522032529
가경터미널시장, 36.62830147747534, 127.43691460454237
내덕자연시장, 36.66311245862018, 127.48961527571437
내덕자연시장, 36.66304732594387, 127.48961978663408
내덕자연시장, 36.6629966671575, 127.48948445904246
내덕자연시장, 36.66279041318311, 127.4894483716847
내덕자연시장, 36.66215107639307, 127.4896755674901
내덕자연시장, 36.6621229308634, 127.48946823686505
내덕자연시장, 36.662030818148885, 127.48949694418236
내덕자연시장, 36.662030818148885, 127.48938849431694
내덕자연시장, 36.661904058154875, 127.48941142574472
내덕자연시장, 36.66181581646814, 127.48827725409427
내덕자연시장, 36.66175800289442, 127.48828484052673
내덕자연시장, 36.661736703145785, 127.48798896966139
내덕자연시장, 36.66211705491292, 127.48791310533694
내덕자연시장, 36.66214748297311, 127.48837208449984
내덕자연시장, 36.66246697687881, 127.48837967093228
내덕자연시장, 36.66249436200903, 127.48858071139206
내덕자연시장, 36.6628509285446, 127.48853108001855
내덕자연시장, 36.662876747364436, 127.48861691070378
내덕자연시장, 36.66300584133374, 127.488579359779
내수전통시장, 36.72561931136957, 127.53471258107643
내수전통시장, 36.72409722878396, 127.53574254922961
내수전통시장, 36.72342647093188, 127.5361395161288
내수전통시장, 36.72499156343169, 127.5385427751529
내수전통시장, 36.72681459799752, 127.53657939836087
내수전통시장, 36.72842261617825, 127.53892901323634
내수전통시장, 36.728732177304884, 127.5386178770234
복대시장, 36.635502032965185, 127.4480605527404
복대시장, 36.634857018724695, 127.4480158969165
복대시장, 36.634667608755436, 127.44743537120559
복대시장, 36.63425807209504, 127.4480605527404
복대시장, 36.63432974116771, 127.44954695373649
복대시장, 36.635599296548826, 127.44957247135015
북부시장, 36.64970965044552, 127.4859926572296
북부시장, 36.64976560076006, 127.48580222040962
북부시장, 36.649741929478104, 127.48555545720626
북부시장, 36.649541799258024, 127.48583172470568
북부시장, 36.648906974150734, 127.48515849031388
북부시장, 36.64905976303912, 127.4848956338259
북부시장, 36.64878431241574, 127.48463009514384
북부시장, 36.64865519459464, 127.48486344729875
북부시장, 36.648571267897495, 127.4847749344106
북부시장, 36.648493797018915, 127.48489831601226
북부시장, 36.648222648321955, 127.48478029885435
북부시장, 36.648078465689814, 127.48515312589042
북부시장, 36.64813656916939, 127.48522822773492
북부시장, 36.64798808241223, 127.48553668173916
북부시장, 36.64784820332113, 127.48542402897239
북부시장, 36.647731995883014, 127.48561714800111
북부시장, 36.64794289073367, 127.48582636028225
북부시장, 36.64770401999209, 127.4860463013983
북부시장, 36.647848203322404, 127.48634939102094
북부시장, 36.64837543857943, 127.48642717509057
북부시장, 36.64865734655771, 127.4869046082449
사직시장, 36.636745007014284, 127.4782926675343
사직시장, 36.63628441382622, 127.47835704054823
사직시장, 36.63617895051257, 127.47727611035619
사직시장, 36.63589053989722, 127.4773002502364
사직시장, 36.635823817884656, 127.4768308636766
사직시장, 36.63595510953176, 127.4767906305429
사직시장, 36.636316698485224, 127.47683354588551
사직시장, 36.63639848622744, 127.47669943543984
사직시장, 36.63643507545246, 127.47675039740916
사직시장, 36.63671702713281, 127.47671016427547
사직시장, 36.63672348402944, 127.47682818146768
사직시장, 36.636639544331096, 127.47686305018354
원마루시장, 36.61015019224855, 127.49522578691675
원마루시장, 36.60837589716086, 127.49516263404071
원마루시장, 36.60832158136121, 127.49606030706418
원마루시장, 36.6088719796943, 127.49611894902048
원마루시장, 36.60887560072295, 127.49619563465566
원마루시장, 36.60895526331044, 127.49618210189651
원마루시장, 36.60895526331044, 127.49662417202866
원마루시장, 36.61010311964068, 127.49639411512315
직지시장, 36.6473587335559, 127.46624559206585
직지시장, 36.646336147755136, 127.46553246741676
직지시장, 36.64626614882584, 127.46572592144392
직지시장, 36.64608962950425, 127.4656007453087
직지시장, 36.64602876067887, 127.46571833501147
직지시장, 36.64600136969175, 127.46579419933583
직지시장, 36.64592224011869, 127.465744887525
직지시장, 36.64584919736371, 127.46591558225485
직지시장, 36.647036133549065, 127.46676146947158
직지시장, 36.6469449135056, 127.46693366534703
직지시장, 36.6470037748398, 127.46697832117391
사창시장, 36.63388292191097, 127.46644417690224
사창시장, 36.63387861715458, 127.46593455720924
사창시장, 36.63380974101966, 127.46581117559933
사창시장, 36.63381404577989, 127.46567170073597
사창시장, 36.63397332173959, 127.4656502430647
사창시장, 36.63419286373898, 127.46560732772211
사창시장, 36.63414981633743, 127.46523718289244
사창시장, 36.63381835053989, 127.46526400498155
사창시장, 36.63379682673749, 127.46508697919344
사창시장, 36.633938883722145, 127.46508161477563
사창시장, 36.63401636923977, 127.46464173251427
